iter	Passed	Remaining
619	1326	812
620	1327	810
621	1328	807
622	1330	804
623	1331	802
624	1333	799
625	1334	797
626	1335	794
627	1336	791
628	1338	789
629	1341	787
630	1342	785
631	1344	782
632	1345	780
633	1347	777
634	1348	775
635	1349	772
636	1351	770
637	1352	767
638	1353	764
639	1356	762
640	1357	760
641	1358	757
642	1360	755
643	1361	752
644	1363	750
645	1364	747
646	1365	745
647	1367	742
648	1369	740
649	1371	738
650	1372	735
651	1373	733
652	1374	730
653	1376	728
654	1377	725
655	1379	723
656	1380	720
657	1381	718
658	1382	715
659	1385	713
660	1386	711
661	1387	708
662	1389	706
663	1390	703
664	1391	701
665	1392	698
666	1394	696
667	1396	693
668	1397	691
669	1398	688
670	1400	686
671	1401	684
672	1403	682
673	1405	679
674	1406	677
675	1407	674
676	1408	672
677	1409	669
678	1411	667
679	1413	664
680	1414	662
681	1416	660
682	1417	657
683	1418	655
684	1419	652
685	1421	650
686	1422	648
687	1423	645
688	1425	643
689	1426	640
690	1429	639
691	1430	636
692	1432	634
693	1433	631
694	1434	629
695	1436	627
696	1437	624
697	1439	622
698	1440	620
699	1441	617
700	1444	615
701	1445	613
702	1448	611
703	1449	609
704	1451	607
705	1452	604
706	1454	602
707	1458	601
708	1461	599
709	1463	597
710	1465	595
711	1466	593
712	1469	591
713	1470	589
714	1476	588
715	1477	586
716	1479	583
717	1481	581
718	1484	580
719	1485	577
720	1493	577
721	1495	575
722	1496	573
723	1498	571
724	1499	568
725	1501	566
726	1507	566
727	1509	564
728	1511	561
729	1512	559
730	1514	557
731	1516	555
732	1520	553
733	1524	552
734	1526	550
735	1528	548
736	1530	546
737	1531	543
738	1540	544
739	1543	542
740	1545	540
741	1547	538
742	1553	537
743	1555	535
744	1560	534
745	1561	531
746	1563	529
747	1567	528
748	1570	526
749	1572	524
750	1575	522
751	1576	519
752	1579	518
753	1582	516
754	1586	514
755	1587	512
756	1589	510
757	1591	508
758	1592	505
759	1596	504
760	1598	502
761	1600	499
762	1602	497
763	1603	495
764	1604	492
765	1606	490
766	1614	490
767	1615	488
768	1617	485
